STRUCTURE_NAME,REF_AREA,Reference area,Frequency of observation,Measure,UNIT_MEASURE,Unit of measure,Age,SEX,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Potential years of life lost,CRI,Costa Rica,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,201.2
Potential years of life lost,CRI,Costa Rica,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2018,265.4
Potential years of life lost,CRI,Costa Rica,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2019,212.1
Potential years of life lost,CRI,Costa Rica,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2020,213.4
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2021,140.6
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2015,149.2
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,117.5
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,98.9
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,115.6
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2016,136.1
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,119
Potential years of life lost,GRC,Greece,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,118.6
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2016,142.1
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,133.7
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2018,123.8
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2019,135.4
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2020,142.1
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,154.8
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,144.4
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,150.4
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2017,8417.8
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2018,8305.7
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2021,130.8
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,149.2
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2016,159.7
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2021,140.8
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,156.1
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2018,158.2
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2019,146.9
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2020,158.4
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2022,158.2
Potential years of life lost,CAN,Canada,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2015,157.7
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2015,10026.1
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2016,9925.6
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2019,8332.6
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2020,8714.8
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2021,9745.8
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2022,9168.9
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2017,9310.7
Potential years of life lost,EST,Estonia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2018,9065.2
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2015,3685.9
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,3634.2
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,4339.6
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,4635.7
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,4495.4
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,6579.5
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2021,189.2
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,169.3
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,165.4
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,161.6
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,186.1
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,170.9
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,165.2
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,4927.7
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,4910.4
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,4824.3
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,4784.4
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,5514.6
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2021,6151.4
Potential years of life lost,USA,United States,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2015,4827.6
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,147.2
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,159.5
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,150.9
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,148
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,147.1
Potential years of life lost,IRL,Ireland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,117.5
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2019,3408.4
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2020,3533.8
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2021,3631.7
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2022,3550
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2015,3610.6
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2016,3637.1
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2017,3547.3
Potential years of life lost,NLD,Netherlands,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2018,3486.1
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,141.2
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,132.1
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,142.4
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,140.1
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,142.8
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,148.5
Potential years of life lost,TUR,TÃ¼rkiye,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2015,5493.8
Potential years of life lost,TUR,TÃ¼rkiye,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2019,5072.3
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,2649.8
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,2619.2
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,2531.8
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2021,2584.6
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2015,2582.2
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,2613.1
Potential years of life lost,FIN,Finland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,2696.7
Potential years of life lost,TUR,TÃ¼rkiye,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2017,5541.1
Potential years of life lost,TUR,TÃ¼rkiye,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2018,5258.2
Potential years of life lost,TUR,TÃ¼rkiye,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2016,5707.3
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2016,4805
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2017,4588.1
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2018,4532.8
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2019,4375.5
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2020,4236.1
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2021,4203.6
Potential years of life lost,KOR,Korea,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2015,4977.8
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2016,164.2
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,165.9
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2018,165.5
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2019,158.1
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2020,166.3
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2021,186.3
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2015,146.1
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2015,4320.8
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2016,4201.1
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2017,4045.3
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2018,3952.2
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2019,3944.1
Potential years of life lost,SVN,Slovenia,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2020,3927.1
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2017,8333.5
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2018,8195.9
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2019,7866.8
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2020,8626.9
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2021,9064.1
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2022,7804.4
Potential years of life lost,LTU,Lithuania,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Total,2015,9608.5
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Diseases of the nervous system,2017,165.1
Potential years of life lost,BGR,Bulgaria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,M,Male,Total,2016,11382.5
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,27
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,176.4
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,189.6
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,186.4
Potential years of life lost,PER,Peru,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,125.6
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2016,161
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,155
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,154.9
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,159
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,146.2
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2021,148.4
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,151.6
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,113.8
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,116.1
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,108.1
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,105.3
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,110.7
Potential years of life lost,FRA,France,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2016,110.8
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,112
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,115.6
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,117.6
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,119.9
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,119.8
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,128.8
Potential years of life lost,AUT,Austria,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2021,119
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2015,125.8
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2016,111.6
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,2968.1
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,2772.6
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,2776.5
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2021,2490.8
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2015,3153.4
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,3166.5
Potential years of life lost,DNK,Denmark,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,2938.6
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2017,117.3
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2018,119.5
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2019,119.4
Potential years of life lost,DEU,Germany,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Diseases of the nervous system,2020,109.9
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,4033.6
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,3948.7
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,4011.6
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,3929.1
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,4011.2
Potential years of life lost,SVK,Slovak Republic,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2021,4935.9
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2016,3821.7
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2017,3859.1
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2018,3875.4
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2019,3790.5
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2020,4028.1
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2021,4483.4
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,F,Female,Total,2015,3908.7
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,197.1
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,194.9
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,196.8
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,199.8
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,189.9
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2021,188.6
Potential years of life lost,MEX,Mexico,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,189.5
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2015,114.4
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2017,129.4
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2018,129.9
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2019,122.2
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2020,123.3
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2021,146.7
Potential years of life lost,POL,Poland,Annual,Potential years of life lost,Y_10P5PS,Years per 100 000 persons,75 years,_T,Total,Diseases of the nervous system,2016,125.9
